date_start                       ,driver_number ,duration_sector_1 ,duration_sector_2 ,duration_sector_3 ,i1_speed ,i2_speed ,is_pit_out_lap ,lap_duration ,lap_number ,meeting_key ,segments_sector_1                      ,segments_sector_2                      ,segments_sector_3                            ,session_key ,st_speed
2024-06-09 18:08:32.986000+00:00 ,            2 ,           30.065 ,           31.492 ,           36.964 ,     184 ,     269 ,False          ,      98.521 ,         4 ,       1237 ,"[2049, 2049, 2048, 2048, 2049, 2048]" ,"[2049, 2049, 2049, 2048, 2049, 2049]" ,"[2048, 2049, 2048, 2048, 2048, 2049, 2049]" ,       9531 ,     309
2024-06-09 18:08:25.576000+00:00 ,            3 ,           28.687 ,           31.496 ,           37.321 ,     184 ,     266 ,False          ,      97.504 ,         4 ,       1237 ,"[2049, 2049, 2049, 2049, 2048, 2049]" ,"[2049, 2049, 2049, 2049, 2048, 2049]" ,"[2049, 2049, 2049, 2048, 2048, 2049, 2049]" ,       9531 ,     302
2024-06-09 18:08:13.601000+00:00 ,            4 ,           28.082 ,           30.586 ,           36.47  ,     201 ,     265 ,False          ,      95.138 ,         4 ,       1237 ,"[2051, 2048, 2049, 2048, 2048, 2048]" ,"[2049, 2049, 2049, 2049, 2048, 2048]" ,"[2048, 2049, 2049, 2049, 2051, 2048, 2048]" ,       9531 ,     299
2024-06-09 18:08:36.343000+00:00 ,           10 ,           29.518 ,           31.43  ,           37.959 ,     180 ,     266 ,False          ,      98.907 ,         4 ,       1237 ,"[None, 2049, 2048, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2048, 2048, 2048, 2048, 2048, 2048]" ,       9531 ,     302
2024-06-09 18:08:34.973000+00:00 ,           11 ,           29.998 ,           31.635 ,           37.737 ,     190 ,     267 ,False          ,      99.37  ,         4 ,       1237 ,"[None, 2048, 2048, 2049, 2048, 2048]" ,"[2048, 2049, 2049, 2049, 2048, 2049]" ,"[2049, 2049, 2049, 2049, 2048, 2048, 2048]" ,       9531 ,     279
2024-06-09 18:08:20.204000+00:00 ,           14 ,           28.891 ,           31.213 ,           36.539 ,     176 ,     269 ,False          ,      96.643 ,         4 ,       1237 ,"[2049, 2049, 2049, 2049, 2048, 2048]" ,"[2049, 2049, 2049, 2048, 2049, 2049]" ,"[2049, 2048, 2048, 2048, 2049, 2048, 2049]" ,       9531 ,     303
2024-06-09 18:08:27.798000+00:00 ,           16 ,           29.078 ,           31.438 ,           37.297 ,     183 ,     256 ,False          ,      97.813 ,         4 ,       1237 ,"[None, 2048, 2048, 2049, 2048, 2048]" ,"[2049, 2049, 2049, 2049, 2049, 2048]" ,"[2048, 2049, 2049, 2049, 2048, 2048, 2048]" ,       9531 ,     289
2024-06-09 18:08:26.737000+00:00 ,           18 ,           28.71  ,           31.12  ,           37.472 ,         ,     270 ,False          ,      97.302 ,         4 ,       1237 ,"[None, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2048, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2048, 2049, 2049]" ,       9531 ,     304
2024-06-09 18:08:16.753000+00:00 ,           20 ,           27.334 ,           29.992 ,           36.667 ,     215 ,     265 ,False          ,      93.993 ,         4 ,       1237 ,"[None, 2049, 2048, 2048, 2051, 2051]" ,"[2051, 2049, 2049, 2051, 2048, 2048]" ,"[2048, 2048, 2048, 2048, 2048, 2049, 2048]" ,       9531 ,     300
2024-06-09 18:08:29.554000+00:00 ,           22 ,           28.57  ,           31.454 ,           37.451 ,     190 ,     268 ,False          ,      97.475 ,         4 ,       1237 ,"[None, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2048, 2048, 2049, 2049, 2048, 2049]" ,       9531 ,     306
2024-06-09 18:08:30.664000+00:00 ,           23 ,           28.913 ,           31.471 ,           37.538 ,     198 ,     236 ,False          ,      97.922 ,         4 ,       1237 ,"[None, 2048, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2048]" ,"[2048, 2049, 2049, 2048, 2048, 2049, 2049]" ,       9531 ,     305
2024-06-09 18:08:40.722000+00:00 ,           24 ,           30.183 ,           31.62  ,           37.982 ,     181 ,     264 ,False          ,      99.785 ,         4 ,       1237 ,"[None, 2048, 2048, 2049, 2048, 2048]" ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2048, 2049, 2049]" ,       9531 ,     299
2024-06-09 18:08:23.455000+00:00 ,           27 ,           27.355 ,           30.684 ,           37.014 ,         ,     264 ,False          ,      95.053 ,         4 ,       1237 ,"[None, 2049, 2051, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2048, 2049]" ,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]" ,       9531 ,     302
2024-06-09 18:08:34.197000+00:00 ,           31 ,           30.06  ,           31.842 ,           37.844 ,         ,     263 ,False          ,      99.746 ,         4 ,       1237 ,"[2048, 2048, 2049, 2049, 2048, 2048]" ,"[2048, 2049, 2049, 2049, 2048, 2049]" ,"[2049, 2048, 2048, 2048, 2049, 2049, 2049]" ,       9531 ,     298
2024-06-09 18:08:21.348000+00:00 ,           44 ,           28.639 ,           31.222 ,           36.805 ,     182 ,     267 ,False          ,      96.666 ,         4 ,       1237 ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2048, 2049, 2049, 2048, 2048]" ,"[2049, 2048, 2051, 2049, 2048, 2051, 2048]" ,       9531 ,     305
2024-06-09 18:08:32.694000+00:00 ,           55 ,           29.189 ,           31.351 ,           37.091 ,     184 ,     266 ,False          ,      97.631 ,         4 ,       1237 ,"[None, 2048, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2048, 2049]" ,"[2049, 2048, 2048, 2049, 2049, 2049, 2049]" ,       9531 ,     302
2024-06-09 18:08:08.608000+00:00 ,           63 ,           27.927 ,           30.207 ,           36.451 ,     204 ,     267 ,False          ,      94.585 ,         4 ,       1237 ,"[2049, 2048, 2049, 2048, 2048, 2049]" ,"[2048, 2051, 2051, 2049, 2051, 2051]" ,"[2049, 2048, 2049, 2049, 2048, 2048, 2051]" ,       9531 ,     296
2024-06-09 18:08:37.630000+00:00 ,           77 ,           29.444 ,           31.575 ,           37.589 ,     189 ,     266 ,False          ,      98.608 ,         4 ,       1237 ,"[None, 2048, 2049, 2049, 2049, 2049]" ,"[2048, 2049, 2049, 2049, 2048, 2049]" ,"[2048, 2048, 2048, 2049, 2048, 2049, 2048]" ,       9531 ,     301
