date,driver_number,meeting_key,position,session_key
2024-06-09 18:47:48.910000+00:00,16,1237,16,9531
2024-06-09 18:47:50.387000+00:00,11,1237,16,9531
2024-06-09 18:47:50.387000+00:00,16,1237,17,9531
2024-06-09 18:47:52.377000+00:00,16,1237,18,9531
2024-06-09 18:47:52.377000+00:00,27,1237,17,9531
2024-06-09 18:48:00.228000+00:00,16,1237,19,9531
2024-06-09 18:48:00.228000+00:00,24,1237,18,9531
2024-06-09 18:51:12.838000+00:00,3,1237,11,9531
2024-06-09 18:51:12.838000+00:00,23,1237,9,9531
2024-06-09 18:51:12.838000+00:00,31,1237,10,9531
2024-06-09 18:52:47.552000+00:00,10,1237,14,9531
2024-06-09 18:52:47.552000+00:00,20,1237,15,9531
2024-06-09 18:52:50.421000+00:00,24,1237,17,9531
2024-06-09 18:52:50.421000+00:00,27,1237,18,9531
2024-06-09 19:01:44.075000+00:00,11,1237,15,9531
2024-06-09 19:01:44.075000+00:00,20,1237,16,9531
2024-06-09 19:01:46.820000+00:00,24,1237,18,9531
2024-06-09 19:01:46.820000+00:00,27,1237,17,9531
2024-06-09 19:06:03.475000+00:00,10,1237,15,9531
2024-06-09 19:06:03.475000+00:00,11,1237,14,9531
2024-06-09 19:06:05.119000+00:00,10,1237,16,9531
2024-06-09 19:06:05.119000+00:00,20,1237,15,9531
2024-06-09 19:06:06.711000+00:00,10,1237,17,9531
2024-06-09 19:06:06.711000+00:00,27,1237,16,9531
2024-06-09 19:06:11.061000+00:00,10,1237,18,9531
2024-06-09 19:06:11.061000+00:00,24,1237,17,9531
2024-06-09 19:07:32.638000+00:00,20,1237,16,9531
2024-06-09 19:07:32.638000+00:00,27,1237,15,9531
2024-06-09 19:07:38.414000+00:00,20,1237,17,9531
2024-06-09 19:07:38.414000+00:00,24,1237,16,9531
2024-06-09 19:08:54.068000+00:00,55,1237,12,9531
2024-06-09 19:08:54.068000+00:00,77,1237,13,9531
2024-06-09 19:08:54.360000+00:00,11,1237,13,9531
2024-06-09 19:08:54.360000+00:00,77,1237,14,9531
2024-06-09 19:08:58.424000+00:00,27,1237,14,9531
2024-06-09 19:08:58.424000+00:00,77,1237,15,9531
2024-06-09 19:09:05.428000+00:00,24,1237,15,9531
2024-06-09 19:09:05.428000+00:00,77,1237,16,9531
2024-06-09 19:10:06.612000+00:00,14,1237,5,9531
2024-06-09 19:10:06.612000+00:00,44,1237,6,9531
2024-06-09 19:10:08.779000+00:00,22,1237,6,9531
2024-06-09 19:10:08.779000+00:00,44,1237,7,9531
2024-06-09 19:10:14.215000+00:00,23,1237,10,9531
2024-06-09 19:10:14.215000+00:00,31,1237,9,9531
2024-06-09 19:10:24.879000+00:00,3,1237,12,9531
2024-06-09 19:10:24.879000+00:00,11,1237,14,9531
2024-06-09 19:10:24.879000+00:00,27,1237,11,9531
2024-06-09 19:10:24.879000+00:00,55,1237,13,9531
2024-06-09 19:10:32.751000+00:00,3,1237,13,9531
2024-06-09 19:10:32.751000+00:00,11,1237,15,9531
2024-06-09 19:10:32.751000+00:00,24,1237,12,9531
2024-06-09 19:10:32.751000+00:00,55,1237,14,9531
2024-06-09 19:10:50.938000+00:00,10,1237,17,9531
2024-06-09 19:10:50.938000+00:00,20,1237,18,9531
2024-06-09 19:11:43.498000+00:00,14,1237,6,9531
2024-06-09 19:11:43.498000+00:00,22,1237,7,9531
2024-06-09 19:11:43.498000+00:00,44,1237,5,9531
2024-06-09 19:12:06.732000+00:00,3,1237,11,9531
2024-06-09 19:12:06.732000+00:00,24,1237,13,9531
2024-06-09 19:12:06.732000+00:00,27,1237,12,9531
2024-06-09 19:12:08.909000+00:00,24,1237,14,9531
2024-06-09 19:12:08.909000+00:00,55,1237,13,9531
2024-06-09 19:12:10.398000+00:00,11,1237,14,9531
2024-06-09 19:12:10.398000+00:00,24,1237,15,9531
2024-06-09 19:12:15.156000+00:00,24,1237,16,9531
2024-06-09 19:12:15.156000+00:00,77,1237,15,9531
2024-06-09 19:12:15.928000+00:00,10,1237,16,9531
2024-06-09 19:12:15.928000+00:00,24,1237,17,9531
2024-06-09 19:12:16.680000+00:00,20,1237,17,9531
2024-06-09 19:12:16.680000+00:00,24,1237,18,9531
2024-06-09 19:12:39.082000+00:00,1,1237,2,9531
