date                             ,driver_number ,gap_to_leader ,interval ,meeting_key ,session_key
2024-06-09 18:04:13.193000+00:00 ,            2 ,9.262         ,0.675    ,       1237 ,       9531
2024-06-09 18:04:13.307000+00:00 ,           27 ,9.31          ,0.048    ,       1237 ,       9531
2024-06-09 18:04:13.981000+00:00 ,           81 ,3.663         ,1.634    ,       1237 ,       9531
2024-06-09 18:04:13.998000+00:00 ,           31 ,10.029        ,0.719    ,       1237 ,       9531
2024-06-09 18:04:14.628000+00:00 ,           10 ,10.673        ,0.644    ,       1237 ,       9531
2024-06-09 18:04:14.790000+00:00 ,           14 ,4.508         ,0.845    ,       1237 ,       9531
2024-06-09 18:04:15.159000+00:00 ,           11 ,11.262        ,0.589    ,       1237 ,       9531
2024-06-09 18:04:15.309000+00:00 ,            1 ,1.241         ,1.241    ,       1237 ,       9531
2024-06-09 18:04:15.407000+00:00 ,           44 ,5.156         ,0.648    ,       1237 ,       9531
2024-06-09 18:04:16.329000+00:00 ,            3 ,6.023         ,0.867    ,       1237 ,       9531
2024-06-09 18:04:16.358000+00:00 ,           77 ,12.454        ,1.192    ,       1237 ,       9531
2024-06-09 18:04:16.540000+00:00 ,            4 ,2.474         ,1.233    ,       1237 ,       9531
2024-06-09 18:04:17.333000+00:00 ,           18 ,6.963         ,0.94     ,       1237 ,       9531
2024-06-09 18:04:17.902000+00:00 ,           16 ,7.552         ,0.589    ,       1237 ,       9531
2024-06-09 18:04:17.986000+00:00 ,           81 ,3.917         ,1.443    ,       1237 ,       9531
2024-06-09 18:04:18.225000+00:00 ,           20 ,7.956         ,         ,       1237 ,       9531
2024-06-09 18:04:18.426000+00:00 ,           24 ,14.497        ,2.043    ,       1237 ,       9531
2024-06-09 18:04:18.587000+00:00 ,           22 ,8.275         ,0.319    ,       1237 ,       9531
2024-06-09 18:04:18.749000+00:00 ,            1 ,1.256         ,1.256    ,       1237 ,       9531
2024-06-09 18:04:18.884000+00:00 ,           14 ,4.799         ,0.882    ,       1237 ,       9531
2024-06-09 18:04:19.320000+00:00 ,           23 ,8.963         ,0.688    ,       1237 ,       9531
2024-06-09 18:04:19.415000+00:00 ,           44 ,5.357         ,0.558    ,       1237 ,       9531
2024-06-09 18:04:19.764000+00:00 ,           55 ,9.493         ,0.53     ,       1237 ,       9531
2024-06-09 18:04:20.054000+00:00 ,            4 ,2.582         ,1.326    ,       1237 ,       9531
2024-06-09 18:04:20.131000+00:00 ,           27 ,9.833         ,         ,       1237 ,       9531
2024-06-09 18:04:20.365000+00:00 ,            3 ,6.295         ,0.938    ,       1237 ,       9531
2024-06-09 18:04:20.611000+00:00 ,            2 ,10.295        ,0.462    ,       1237 ,       9531
2024-06-09 18:04:21.195000+00:00 ,           31 ,10.852        ,0.557    ,       1237 ,       9531
2024-06-09 18:04:21.273000+00:00 ,           18 ,7.203         ,0.908    ,       1237 ,       9531
2024-06-09 18:04:21.463000+00:00 ,           81 ,3.97          ,1.388    ,       1237 ,       9531
2024-06-09 18:04:21.726000+00:00 ,           10 ,11.45         ,0.598    ,       1237 ,       9531
2024-06-09 18:04:21.972000+00:00 ,           16 ,7.854         ,0.651    ,       1237 ,       9531
2024-06-09 18:04:22.212000+00:00 ,           20 ,8.107         ,0.253    ,       1237 ,       9531
2024-06-09 18:04:22.297000+00:00 ,           11 ,12.028        ,0.578    ,       1237 ,       9531
2024-06-09 18:04:22.392000+00:00 ,           14 ,4.867         ,0.897    ,       1237 ,       9531
2024-06-09 18:04:22.798000+00:00 ,           22 ,8.759         ,0.652    ,       1237 ,       9531
2024-06-09 18:04:22.882000+00:00 ,           44 ,5.415         ,0.548    ,       1237 ,       9531
2024-06-09 18:04:23.282000+00:00 ,           23 ,9.189         ,0.43     ,       1237 ,       9531
2024-06-09 18:04:23.303000+00:00 ,           77 ,13.034        ,1.006    ,       1237 ,       9531
2024-06-09 18:04:23.891000+00:00 ,            3 ,6.412         ,0.997    ,       1237 ,       9531
2024-06-09 18:04:23.955000+00:00 ,           55 ,9.861         ,0.672    ,       1237 ,       9531
2024-06-09 18:04:24.148000+00:00 ,           27 ,10.066        ,0.205    ,       1237 ,       9531
2024-06-09 18:04:24.652000+00:00 ,            2 ,10.595        ,0.529    ,       1237 ,       9531
2024-06-09 18:04:24.762000+00:00 ,           18 ,7.257         ,0.845    ,       1237 ,       9531
2024-06-09 18:04:25.213000+00:00 ,           31 ,11.146        ,0.551    ,       1237 ,       9531
2024-06-09 18:04:25.391000+00:00 ,           16 ,7.918         ,0.661    ,       1237 ,       9531
2024-06-09 18:04:25.432000+00:00 ,           24 ,15.12         ,2.086    ,       1237 ,       9531
2024-06-09 18:04:25.614000+00:00 ,           20 ,8.106         ,0.188    ,       1237 ,       9531
2024-06-09 18:04:26.004000+00:00 ,           10 ,11.899        ,0.753    ,       1237 ,       9531
2024-06-09 18:04:26.320000+00:00 ,           11 ,12.297        ,0.398    ,       1237 ,       9531
2024-06-09 18:04:26.398000+00:00 ,           22 ,8.908         ,0.802    ,       1237 ,       9531
2024-06-09 18:04:26.811000+00:00 ,           23 ,9.321         ,0.413    ,       1237 ,       9531
2024-06-09 18:04:27.162000+00:00 ,            1 ,1.068         ,1.068    ,       1237 ,       9531
2024-06-09 18:04:27.394000+00:00 ,           77 ,13.331        ,1.034    ,       1237 ,       9531
2024-06-09 18:04:27.552000+00:00 ,           55 ,10.033        ,0.712    ,       1237 ,       9531
2024-06-09 18:04:27.686000+00:00 ,           27 ,10.197        ,0.164    ,       1237 ,       9531
2024-06-09 18:04:28.224000+00:00 ,            2 ,10.736        ,0.539    ,       1237 ,       9531
2024-06-09 18:04:28.836000+00:00 ,            4 ,2.814         ,1.746    ,       1237 ,       9531
2024-06-09 18:04:28.836000+00:00 ,           31 ,11.349        ,0.613    ,       1237 ,       9531
2024-06-09 18:04:29.596000+00:00 ,           10 ,12.069        ,0.72     ,       1237 ,       9531
2024-06-09 18:04:29.787000+00:00 ,           24 ,15.726        ,2.395    ,       1237 ,       9531
2024-06-09 18:04:29.846000+00:00 ,           11 ,12.367        ,0.298    ,       1237 ,       9531
2024-06-09 18:04:30.097000+00:00 ,           81 ,4.091         ,1.277    ,       1237 ,       9531
2024-06-09 18:04:30.962000+00:00 ,           77 ,13.51         ,1.143    ,       1237 ,       9531
2024-06-09 18:04:31.338000+00:00 ,           14 ,5.32          ,1.229    ,       1237 ,       9531
2024-06-09 18:04:32.189000+00:00 ,           44 ,6.098         ,0.778    ,       1237 ,       9531
2024-06-09 18:04:33.150000+00:00 ,            3 ,7.068         ,0.97     ,       1237 ,       9531
2024-06-09 18:04:33.354000+00:00 ,            1 ,1.052         ,1.052    ,       1237 ,       9531
2024-06-09 18:04:33.459000+00:00 ,           24 ,16.002        ,2.492    ,       1237 ,       9531
2024-06-09 18:04:34.147000+00:00 ,           18 ,8.049         ,0.981    ,       1237 ,       9531
2024-06-09 18:04:34.329000+00:00 ,           20 ,8.222         ,         ,       1237 ,       9531
2024-06-09 18:04:34.675000+00:00 ,           16 ,8.645         ,0.423    ,       1237 ,       9531
2024-06-09 18:04:35.174000+00:00 ,            4 ,2.833         ,1.781    ,       1237 ,       9531
2024-06-09 18:04:35.640000+00:00 ,           22 ,9.578         ,0.933    ,       1237 ,       9531
2024-06-09 18:04:36.188000+00:00 ,           23 ,10.154        ,0.576    ,       1237 ,       9531
2024-06-09 18:04:36.516000+00:00 ,            1 ,1.032         ,1.032    ,       1237 ,       9531
2024-06-09 18:04:36.551000+00:00 ,           81 ,4.207         ,1.374    ,       1237 ,       9531
2024-06-09 18:04:37.040000+00:00 ,           27 ,10.959        ,         ,       1237 ,       9531
2024-06-09 18:04:37.144000+00:00 ,           55 ,11.088        ,0.129    ,       1237 ,       9531
2024-06-09 18:04:37.509000+00:00 ,           14 ,5.187         ,0.98     ,       1237 ,       9531
2024-06-09 18:04:37.738000+00:00 ,            2 ,11.648        ,0.56     ,       1237 ,       9531
2024-06-09 18:04:38.247000+00:00 ,           44 ,5.929         ,0.742    ,       1237 ,       9531
2024-06-09 18:04:38.337000+00:00 ,            4 ,2.829         ,1.797    ,       1237 ,       9531
2024-06-09 18:04:38.690000+00:00 ,           31 ,12.694        ,1.046    ,       1237 ,       9531
2024-06-09 18:04:39.298000+00:00 ,           10 ,13.162        ,0.468    ,       1237 ,       9531
2024-06-09 18:04:39.484000+00:00 ,            3 ,7.195         ,1.266    ,       1237 ,       9531
2024-06-09 18:04:39.506000+00:00 ,           11 ,13.411        ,0.249    ,       1237 ,       9531
2024-06-09 18:04:39.697000+00:00 ,           81 ,4.202         ,1.373    ,       1237 ,       9531
2024-06-09 18:04:40.468000+00:00 ,           18 ,8.13          ,0.935    ,       1237 ,       9531
2024-06-09 18:04:40.495000+00:00 ,           20 ,8.131         ,0.001    ,       1237 ,       9531
